0:  text/plain; charset=unknown-8bit
1:  text/plain; charset=iso-8859-1
10: text/plain; charset=us-ascii
11: text/plain; charset=us-ascii
12: text/plain; charset=us-ascii
13: text/plain; charset=us-ascii
14: text/plain; charset=us-ascii
15: text/plain; charset=us-ascii
16: text/plain; charset=unknown-8bit
17: text/x-c++; charset=us-ascii
18: text/plain; charset=us-ascii
19: text/plain; charset=unknown-8bit
2:  text/plain; charset=us-ascii
20: text/plain; charset=us-ascii
21: text/plain; charset=us-ascii
22: text/plain; charset=us-ascii
23: text/plain; charset=unknown-8bit
24: text/plain; charset=us-ascii
25: text/plain; charset=us-ascii
26: text/plain; charset=us-ascii
27: text/plain; charset=us-ascii
28: application/octet-stream; charset=binary
29: text/plain; charset=us-ascii
3:  text/plain; charset=us-ascii
30: text/plain; charset=unknown-8bit
31: text/plain; charset=unknown-8bit
32: text/plain; charset=iso-8859-1
33: text/plain; charset=iso-8859-1
34: text/plain; charset=unknown-8bit
35: text/plain; charset=us-ascii
36: text/plain; charset=unknown-8bit
37: text/plain; charset=us-ascii
38: text/plain; charset=us-ascii
39: text/plain; charset=us-ascii
4:  text/plain; charset=iso-8859-1
40: text/plain; charset=us-ascii
41: text/plain; charset=us-ascii
42: text/plain; charset=us-ascii
43: text/plain; charset=us-ascii
44: text/plain; charset=us-ascii
5:  text/plain; charset=unknown-8bit
6:  text/plain; charset=iso-8859-1
7:  text/plain; charset=us-ascii
8:  text/plain; charset=unknown-8bit
9:  text/plain; charset=us-ascii
